stamp,x,y,z,qw,qx,qy,qz
1642400963.500170014,0.709820,0.355248,-0.150421,0.673352,-0.737149,-0.043584,0.036176
1642400963.926250095,0.712849,0.355056,-0.139211,0.673999,-0.736549,-0.043619,0.036312
1642400964.392957238,0.711890,0.355450,-0.143700,0.674012,-0.736541,-0.043576,0.036283
1642400964.817006152,0.713127,0.355649,-0.144533,0.674034,-0.736524,-0.043540,0.036277
1642400965.592018846,0.712930,0.355682,-0.145424,0.673331,-0.737091,-0.044224,0.036972
1642400966.025408001,0.712697,0.350237,-0.136801,0.673333,-0.737099,-0.044131,0.036874
1642400966.466787487,0.713766,0.348045,-0.129698,0.673325,-0.737105,-0.044149,0.036896
1642400967.031907837,0.712972,0.350453,-0.130845,0.673272,-0.737083,-0.044765,0.037544
1642400967.627248784,0.712601,0.353761,-0.133513,0.673279,-0.737084,-0.044690,0.037476
1642400968.122661045,0.710767,0.351950,-0.139479,0.673300,-0.737065,-0.044690,0.037475
1642400968.646025611,0.709334,0.351568,-0.144357,0.673321,-0.737047,-0.044680,0.037486
1642400969.190279302,0.711150,0.352193,-0.136817,0.673335,-0.737027,-0.044746,0.037535
1642400969.562530644,0.711105,0.351853,-0.134634,0.673316,-0.736976,-0.045321,0.038189
1642400970.357724259,0.709152,0.352149,-0.143904,0.673358,-0.736938,-0.045292,0.038214
1642400971.000582679,0.707840,0.351587,-0.143078,0.673373,-0.736926,-0.045270,0.038196
1642400971.528949115,0.710456,0.352827,-0.146140,0.673918,-0.736419,-0.045306,0.038336
1642400972.023438577,0.708952,0.349920,-0.138433,0.673978,-0.736377,-0.045185,0.038224
1642400972.966197073,0.712319,0.352038,-0.156562,0.673234,-0.736970,-0.045953,0.038972
1642400973.433430049,0.714017,0.352870,-0.153767,0.673857,-0.736406,-0.045867,0.038981
1642400973.959598115,0.711916,0.347135,-0.144216,0.673657,-0.736600,-0.045800,0.038852
1642400974.392341371,0.710480,0.346502,-0.138141,0.673402,-0.736823,-0.045887,0.038947
1642400974.825282519,0.710096,0.345892,-0.142836,0.673166,-0.737049,-0.045802,0.038845
