stamp,x,y,z,qw,qx,qy,qz
1642401075.650694925,4.54635,1.31474,0.263987,0.99953,0.0231175,0.0114857,-0.0165142
1642401076.068929125,4.52371,1.31401,0.266608,0.999569,0.0220001,0.0103468,-0.0164412
1642401076.711791545,4.52358,1.31884,0.269306,0.999639,0.020809,0.00724975,-0.0153532
1642401077.721786956,4.51427,1.3147,0.314376,0.999503,0.0263945,0.009612,-0.0143365
1642401078.117650792,,,,,,,
1642401078.524386030,,,,,,,
1642401079.049669986,,,,,,,
1642401079.671671762,,,,,,,
1642401080.251509013,4.53821,1.3125,0.334175,0.99935,0.0300209,0.0092637,-0.017657
1642401080.868578713,4.50891,1.30451,0.33767,0.995427,0.0889397,0.0208509,-0.0279201
1642401081.388043122,4.55429,1.3073,0.343043,0.999651,0.021752,0.00489988,-0.0141599
1642401082.069215641,4.55756,1.31241,0.383638,0.999588,0.0244279,0.00558807,-0.0140304
1642401082.582324016,4.53066,1.30421,0.358739,0.999444,0.0283909,0.00893552,-0.0150391
1642401083.173953993,4.54492,1.30709,0.359971,0.999459,0.0288344,0.00704224,-0.014162
1642401083.682439033,,,,,,,
1642401084.185870394,,,,,,,
1642401084.687104473,,,,,,,
1642401085.016735090,,,,,,,
1642401085.580022644,4.53948,1.30995,0.33433,0.999206,0.0323945,0.0125184,-0.01953
1642401085.942477770,4.54238,1.30493,0.307339,0.999518,0.0266632,0.00546134,-0.0149293
1642401086.472616746,4.5675,1.31316,0.128432,0.99946,0.0281767,0.0065177,-0.0155825
1642401086.985289114,4.57985,1.31117,0.249373,0.999659,0.0197475,0.00907401,-0.0144789
1642401087.678909217,4.57992,1.31259,0.309581,0.99963,0.0209821,0.00981838,-0.0142632
1642401088.150935899,,,,,,,
1642401088.683469568,,,,,,,
1642401089.109351534,,,,,,,
1642401089.445207304,4.61816,1.30634,-0.140998,0.999762,0.0162195,0.00706274,-0.0127737
1642401089.716929023,4.6845,1.31602,0.0552181,0.999903,0.00315349,0.00734969,-0.0113609
1642401090.183904139,,,,,,,
1642401090.880835941,,,,,,,
1642401091.457299315,,,,,,,
1642401091.918538822,,,,,,,
1642401092.437868158,,,,,,,
1642401092.949876804,4.70397,1.31746,0.09019,0.99988,0.00314956,0.00860357,-0.0124613
1642401093.544813745,4.69008,1.31166,0.277543,0.999905,0.00415537,0.00724017,-0.0109974
1642401094.091860598,4.68677,1.31276,0.214815,0.99991,0.00537493,0.00498365,-0.0112012
1642401094.814448671,4.69044,1.31746,0.260305,0.999882,0.00883684,0.00775634,-0.00988889
1642401095.384422312,4.66431,1.29024,-0.0384998,0.999631,-0.0196481,-0.0180518,0.00510395
1642401095.688814714,,,,,,,
1642401096.187009674,,,,,,,
1642401096.946782483,4.65568,1.31358,0.231441,0.999815,0.0137479,0.00804113,-0.010818
1642401097.399077819,4.674,1.30548,0.343872,0.999859,0.0103326,0.00599379,-0.0117993
1642401098.032450396,4.60645,1.31622,0.47568,0.999684,0.0196844,0.00836484,-0.0131856
1642401098.584836213,4.56106,1.29868,0.651178,0.999535,0.0240725,0.0114508,-0.0147986
1642401099.045531839,4.55977,1.30103,0.491345,0.999489,0.0284668,0.00570706,-0.0133729
1642401099.476890626,4.55639,1.29281,0.484001,0.999413,0.0292545,0.0100493,-0.0147155
1642401100.340801947,4.54538,1.30087,0.454886,0.999382,0.0314041,0.00861851,-0.0132145
1642401100.710275198,4.55055,1.27511,0.487722,0.99946,0.0297618,0.00667456,-0.0122269
1642401101.236420224,4.54122,1.28818,0.496858,0.999395,0.0299951,0.00885387,-0.0152253
1642401101.885547829,4.54608,1.29373,0.540349,0.999423,0.0304342,0.0068337,-0.013437
1642401102.620705793,4.55839,1.30479,0.462777,0.999388,0.0302363,0.0100067,-0.0144347
1642401103.209033351,4.54897,1.29856,0.450478,0.99939,0.0304153,0.00872248,-0.0147543
1642401103.876915039,,,,,,,
1642401104.310728872,,,,,,,
1642401104.885068149,,,,,,,
1642401105.279025620,,,,,,,
1642401105.925401951,,,,,,,
1642401106.479546002,4.58103,1.30263,0.0698119,0.999342,0.0312252,0.0117552,-0.0142075
